Age,Gender,How many hours do you study per week on average?,On how many days per week do you study consistently?,How much time do you spend on smartphone/social media daily?,"Smartphone_Time_Cleaned
",I feel stressed about my studies.,I often delay starting assignments or studying until the last moment.,Your current GPA / Academic performance,Procrastination_Label,Q
20,0,7.5,7.5,4.0,2.9607843137254903,5,5,,1,
20,0,7.5,7.5,4.0,2.9607843137254903,3,5,,1,
22,1,4.0,4.0,4.0,5.0,5,5,,1,
22,1,7.5,7.5,4.0,2.9607843137254903,4,5,,1,
22,1,4.0,4.0,4.0,5.0,1,5,,1,
21,1,7.5,7.5,4.0,2.9607843137254903,5,5,,1,
20,0,4.0,4.0,4.0,2.0,5,3,,0,
16,0,7.5,7.5,4.0,5.0,5,5,,1,
20,1,4.0,4.0,4.0,2.9607843137254903,5,5,,1,
19,0,7.5,7.5,4.0,2.9607843137254903,5,1,,0,
18,1,17.0,17.0,4.0,3.0,5,5,,1,
19,1,7.5,7.5,4.0,2.0,2,4,,1,
20,1,17.0,17.0,4.0,5.0,5,3,,0,
20,1,4.0,4.0,4.0,2.0,3,3,,0,
20,0,7.5,7.5,4.0,2.9607843137254903,5,4,,1,
20,1,7.5,7.5,4.0,2.9607843137254903,3,2,,0,
21,1,7.5,7.5,4.0,1.0,3,3,,0,
20,1,4.0,4.0,4.0,2.0,3,1,,0,
20,1,4.0,4.0,4.0,5.0,5,1,,0,
20,1,13.0,13.0,4.0,2.9607843137254903,2,1,,0,
22,1,17.0,17.0,4.0,5.0,2,1,,0,
19,1,4.0,4.0,4.0,5.0,5,2,,0,
20,1,17.0,17.0,4.0,2.0,4,4,,1,
21,1,17.0,17.0,4.0,2.9607843137254903,3,1,,0,
20,1,4.0,4.0,4.0,5.0,1,5,,1,
19,0,4.0,4.0,4.0,2.0,1,1,,0,
25,0,4.0,4.0,4.0,1.0,1,5,,1,
20,1,7.5,7.5,4.0,2.0,3,4,,1,
19,1,17.0,17.0,4.0,2.9607843137254903,1,2,,0,
20,0,4.0,4.0,4.0,3.0,2,4,,1,
21,1,4.0,4.0,4.0,2.9607843137254903,3,5,,1,
21,0,13.0,13.0,4.0,3.0,3,4,,1,
20,1,7.5,7.5,4.0,2.0,2,1,,0,
17,0,4.0,4.0,4.0,2.9607843137254903,3,3,,0,
19,0,7.5,7.5,4.0,5.0,3,1,,0,
17,1,13.0,13.0,4.0,1.0,3,2,,0,
18,1,4.0,4.0,4.0,2.0,4,4,,1,
18,1,7.5,7.5,4.0,3.0,5,1,,0,
20,1,4.0,4.0,4.0,2.9607843137254903,3,5,,1,
20,0,7.5,7.5,4.0,2.9607843137254903,1,1,,0,
21,0,4.0,4.0,4.0,2.0,2,1,,0,
21,1,4.0,4.0,4.0,2.9607843137254903,3,3,,0,
20,0,13.0,13.0,4.0,3.0,5,3,,0,
21,0,7.5,7.5,4.0,2.9607843137254903,1,5,,1,
21,1,4.0,4.0,4.0,5.0,1,5,,1,
22,1,7.5,7.5,4.0,2.9607843137254903,1,1,,0,
19,1,4.0,4.0,4.0,2.9607843137254903,1,1,,0,
21,0,4.0,4.0,4.0,2.0,5,5,,1,
20,0,4.0,4.0,4.0,1.0,5,5,,1,
20,0,17.0,17.0,4.0,5.0,3,3,,0,
23,1,13.0,13.0,4.0,2.0,3,3,,0,
21,0,17.0,17.0,4.0,1.0,1,5,,1,
22,0,7.5,7.5,4.0,2.0,4,4,,1,
20,1,13.0,13.0,4.0,2.9607843137254903,1,1,,0,
21,1,7.5,7.5,4.0,2.0,3,3,,0,
19,0,4.0,4.0,4.0,2.9607843137254903,1,2,,0,
20,1,17.0,17.0,4.0,5.0,5,2,,0,
20,1,13.0,13.0,4.0,2.9607843137254903,1,4,,1,
21,0,7.5,7.5,4.0,2.0,3,3,,0,
20,0,7.5,7.5,4.0,2.9607843137254903,2,3,,0,
22,1,7.5,7.5,4.0,2.9607843137254903,4,4,,1,
22,1,7.5,7.5,4.0,2.0,3,3,,0,
21,0,7.5,7.5,4.0,5.0,3,4,,1,
21,0,13.0,13.0,4.0,2.9607843137254903,4,4,,1,
19,0,4.0,4.0,4.0,2.9607843137254903,3,1,,0,
20,0,7.5,7.5,4.0,3.0,4,2,,0,
21,0,13.0,13.0,4.0,2.9607843137254903,3,5,,1,
21,1,7.5,7.5,4.0,2.9607843137254903,4,4,,1,
21,1,7.5,7.5,4.0,5.0,3,3,,0,
22,0,13.0,13.0,4.0,2.9607843137254903,3,4,,1,
22,1,7.5,7.5,4.0,2.9607843137254903,3,5,,1,
22,0,7.5,7.5,4.0,2.9607843137254903,5,4,,1,
21,1,7.5,7.5,4.0,5.0,4,4,,1,
22,0,7.5,7.5,4.0,2.0,4,3,,0,
21,1,13.0,13.0,4.0,2.0,3,3,,0,
21,0,13.0,13.0,4.0,5.0,4,4,,1,
22,0,7.5,7.5,4.0,5.0,4,4,,1,
21,1,13.0,13.0,4.0,2.0,4,4,,1,
21,0,13.0,13.0,4.0,2.9607843137254903,3,3,,0,
22,1,7.5,7.5,4.0,1.0,2,2,,0,
22,0,4.0,4.0,4.0,1.0,3,4,,1,
22,1,4.0,4.0,4.0,2.0,3,2,,0,
22,0,4.0,4.0,4.0,1.0,3,3,,0,
